k,DBI (assignment),DBI (sklearn),Silhouette,Inertia,ARI (vs rooms),NMI (vs rooms)
2,1.602072567922806,1.151963197531451,0.38084328512338544,2011052.7318452378,0.49814710836608644,0.666757597700285
3,1.6377261441589808,1.1544458677064247,0.37151314377400496,1568321.150595238,0.7011520106994134,0.8533158069648445
4,1.76520690002661,1.2413195599117204,0.335656984788383,1237878.181818182,1.0,1.0
5,2.6110835332405897,1.8273269275106638,0.24959499575078725,1208929.843440989,0.9169063414070856,0.9425921830996382
6,3.66153623091326,2.5568670556309936,0.20676989518620706,1181710.2709045585,0.8385397464096317,0.8959928814929834
7,3.755942208704215,2.6228568433580435,0.12470961621631606,1157877.972975642,0.7158651114309579,0.8441314685713721
8,4.485521295885421,3.1319999254916993,0.08014671682485808,1130436.4294157876,0.6057698965061071,0.8026409114407163
9,4.547330061728527,3.1677854530864895,0.07422909598364164,1116699.8423690018,0.5676225572316619,0.782392755185548
10,4.632996430336709,3.22266980973703,0.06935631243024118,1097997.4112227089,0.5316718211184686,0.7612652044524487
